Depth,qc,fs,Inclination,dummy,fs/qc
2.23,30.756,0.318,1.03,0.8,0.0103394459617636
2.24,30.834,0.322,1.04,0.8,0.0104430174482714
2.25,30.927,0.325,1.05,0.8,0.0105086170659941
2.26,31.04,0.328,1.05,0.8,0.0105670103092784
2.27,31.076,0.33,1.06,0.8,0.0106191273008109
2.28,31.267,0.331,1.06,0.8,0.0105862410848498
2.29,31.36,0.331,1.06,0.8,0.0105548469387755
2.3,31.413,0.331,1.06,0.8,0.01053703880559
2.31,31.374,0.33,1.06,0.8,0.0105182635303117
2.32,31.353,0.33,1.06,0.8,0.0105253085829107
2.33,31.196,0.329,1.06,0.8,0.0105462238748558
2.34,31.03,0.328,1.06,0.8,0.0105704157267161
2.35,30.728,0.328,1.07,0.8,0.0106743035667795
2.36,30.596,0.329,1.07,0.8,0.0107530396130213
2.37,30.334,0.329,1.08,0.8,0.0108459154743852
2.38,30.284,0.329,1.08,0.8,0.0108638224805178
2.39,30.27,0.329,1.08,0.8,0.0108688470432772
2.4,30.307,0.329,1.08,0.8,0.0108555779192926
2.41,30.344,0.328,1.08,0.8,0.0108093857105194
2.42,30.323,0.327,1.08,0.8,0.01078389341424
2.43,30.323,0.326,1.07,0.8,0.0107509151469182
2.44,30.334,0.325,1.07,0.8,0.0107140502406541
2.45,30.32,0.324,1.07,0.8,0.0106860158311346
2.46,30.337,0.323,1.07,0.8,0.010647064640538
2.47,30.291,0.323,1.07,0.8,0.0106632333036215
2.48,30.277,0.323,1.07,0.8,0.0106681639528355
2.49,30.272,0.323,1.07,0.8,0.0106699260042283
2.5,30.294,0.324,1.07,0.8,0.0106951871657754
2.51,30.316,0.324,1.07,0.8,0.0106874257817654
2.52,30.305,0.324,1.07,0.8,0.0106913050651708
2.53,30.316,0.324,1.07,0.8,0.0106874257817654
2.54,30.327,0.324,1.07,0.8,0.0106835493124938
2.55,30.32,0.324,1.07,0.8,0.0106860158311346
2.56,30.337,0.323,1.06,0.8,0.010647064640538
2.57,30.334,0.322,1.06,0.8,0.0106151513153557
2.58,30.337,0.321,1.06,0.8,0.0105811385436925
2.59,30.38,0.32,1.05,0.8,0.010533245556287
2.6,30.398,0.319,1.05,0.8,0.010494111454701
2.61,30.454,0.317,1.05,0.8,0.0104091416562685
2.62,30.419,0.317,1.05,0.8,0.0104211183799599
2.63,30.362,0.317,1.05,0.8,0.0104406824319874
2.64,30.337,0.317,1.05,0.8,0.0104492863500016
2.65,30.181,0.318,1.05,0.8,0.0105364302044333
2.66,30.151,0.318,1.05,0.8,0.0105469138668701
2.67,30.148,0.318,1.05,0.8,0.0105479633806554
2.68,30.229,0.318,1.04,0.8,0.0105196996261868
2.69,30.309,0.317,1.04,0.8,0.010458939588901
2.7,30.408,0.316,1.04,0.8,0.0103920021047093
2.71,30.604,0.314,1.03,0.8,0.0102600967193831
2.72,30.703,0.313,1.03,0.8,0.0101944435397192
